[2023-08-13 16:17:35] Ruta: /my_framework/public/, Método: GET
[2023-08-13 16:18:48] Ruta: /my_framework/public/, Método: GET
[2023-08-13 18:57:44] Ruta: /my_framework/public/, Método: GET
[2023-08-15 00:39:52] Ruta: /my_framework/public/, Método: GET
[2023-08-15 00:41:04] Ruta: /my_framework/public/, Método: GET
[2023-08-15 00:44:19] Ruta: /my_framework/public/, Método: GET
[2023-08-15 00:47:34] Ruta: /my_framework/public/, Método: GET
[2023-08-15 00:54:44] Ruta: /my_framework/public/, Método: GET
[2023-08-15 00:55:57] Ruta: /my_framework/public/, Método: GET
[2023-08-15 00:57:52] Ruta: /my_framework/public/, Método: GET
[2023-08-15 00:59:51] Ruta: /my_framework/public/, Método: GET
[2023-08-15 00:59:54] Ruta: /my_framework/public/, Método: GET
[2023-08-15 00:59:57] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:00:07] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:00:08] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:09:45] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:09:46] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:09:47] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:10:09] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:10:29] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:10:52] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:11:06] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:11:26] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:11:46] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:11:54] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:12:56] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:12:56] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:12:56] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:12:56] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:12:56] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:00] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:00] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:00] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:00] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:00] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:09] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:09] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:09] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:09] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:09] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:30] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:32] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:32] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:55] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:13:56] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:43:25] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:44:05] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:46:01] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:46:01] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:48:09] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:48:10] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:48:10] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:48:37] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:50:02] Ruta: /my_framework/public/, Método: GET
[2023-08-15 01:50:05] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:09:14] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:09:46] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:09:58] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:10:04] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:10:26] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:11:11] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:11:12] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:11:13] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:11:14] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:11:14] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:11:15] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:11:16] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:11:16] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:11:17] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:12:24] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:12:53] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:15:47] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:19:57] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:20:05] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:20:34] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:22:15] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:04] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:05] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:06] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:11] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:11] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:11] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:11] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:11] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:11] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:11] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:11] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:12] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:12] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:12] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:12] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:12] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:12] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:12] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:12] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:12] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:12] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:12] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:12] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:14] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:25:14] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:14] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:14] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:14] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:14] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:14] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:14] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:14] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:15] Ruta: /my_framework/public/login, Método: GET
